Samples	Result	ImpGenos	Experimental
NA18498	NN	0/0	0/0
NA18500	NN	0/0	0/0
NA18501	NN	0/0	0/0
NA18502	NN	0/0	0/0
NA18503	NN	0/0	0/0
NA18504	NN	0/0	0/0
NA18505	NN	0/0	0/0
NA18506	NN	0/0	0/0
NA18507	NN	0/0	0/0
NA18508	NN	0/0	0/0
NA18515	NN	0/0	0/0
NA18516	NN	0/0	0/0
NA18517	NN	0/0	0/0
NA18519	NN	0/0	0/0
NA18521	NN	0/0	0/0
NA18522	NN	0/0	0/0
NA18523	NN	0/0	0/0
NA18852	NN	0/0	0/0
NA18853	NN	0/0	0/0
NA18854	NN	0/0	0/0
NA18855	NN	0/0	0/0
NA18856	NN	0/0	0/0
NA18857	NN	0/0	0/0
NA18858	NN	0/0	0/0
NA18859	NN	0/0	0/0
NA18861	NN	0/0	0/0
NA18862	NN	0/0	0/0
NA18863	NN	0/0	0/0
NA18867	NN	0/0	0/0
NA18871	NN	0/0	0/0
NA18872	NN	0/0	0/0
NA18910	NN	0/0	0/0
NA18912	NN	0/0	0/0
NA18913	NN	0/0	0/0
NA18914	NN	0/0	0/0
NA19027	NN	0/0	0/0
NA19028	NN	0/0	0/0
NA19031	NN	0/0	0/0
NA19035	NN	0/0	0/0
NA19036	NN	0/0	0/0
NA19038	NN	0/0	0/0
NA19041	NN	0/0	0/0
NA19092	NN	0/0	0/0
NA19093	NN	0/0	0/0
NA19094	NN	0/0	0/0
NA19098	NN	0/0	0/0
NA19099	NN	0/0	0/0
NA19100	NN	0/0	0/0
NA19101	NN	0/0	0/0
NA19102	NN	0/0	0/0
NA19103	NN	0/0	0/0
NA19108	NN	0/0	0/0
NA19116	NN	0/0	0/0
NA19118	NN	0/0	0/0
NA19119	NN	0/0	0/0
NA19120	NN	0/0	0/0
NA19127	NN	0/0	0/0
NA19128	NN	0/0	0/0
NA19129	NN	0/0	0/0
NA19130	NN	0/0	0/0
NA19131	NN	0/0	0/0
NA19132	NN	0/0	0/0
NA19137	NN	0/0	0/0
NA19138	NN	0/0	0/0
NA19139	NN	0/0	0/0
NA19141	NN	0/0	0/0
NA19142	NN	0/0	0/0
NA19143	NN	0/0	0/0
NA19144	NN	0/0	0/0
NA19145	NN	0/0	0/0
NA19146	NN	0/0	0/0
NA19150	NN	0/0	0/0
NA19153	NN	0/0	0/0
NA19154	NN	0/0	0/0
NA19159	NN	0/0	0/0
NA19160	NN	0/0	0/0
NA19161	NN	0/0	0/0
NA19171	NN	0/0	0/0
NA19172	NN	0/0	0/0
NA19173	NN	0/0	0/0
NA19189	NN	0/0	0/0
NA19200	NN	0/0	0/0
NA19201	NN	0/0	0/0
NA19202	NN	0/0	0/0
NA19203	NN	0/0	0/0
NA19204	NN	0/0	0/0
NA19205	NN	0/0	0/0
NA19206	NN	0/0	0/0
NA19207	NN	0/0	0/0
NA19208	NN	0/0	0/0
NA19209	NN	0/0	0/0
NA19210	NN	0/0	0/0
NA19211	NN	0/0	0/0
NA19213	NN	0/0	0/0
NA19221	NN	0/0	0/0
NA19222	NN	0/0	0/0
NA19223	NN	0/0	0/0
NA19238	NN	0/0	0/0
NA19239	NN	0/0	0/0
NA19240	NN	0/0	0/0
NA19307	NN	0/0	0/0
NA19308	NN	0/0	0/0
NA19309	NN	0/0	0/0
NA19310	NN	0/0	0/0
NA19314	NN	0/0	0/0
NA19315	NN	0/0	0/0
NA19316	NN	0/0	0/0
NA19317	NN	0/0	0/0
NA19318	NN	0/0	0/0
NA19319	NN	0/0	0/0
NA19321	NN	0/0	0/0
NA19324	NN	0/0	0/0
NA19327	NN	0/0	0/0
NA19328	NN	0/0	0/0
NA19332	NN	0/0	0/0
NA19334	NN	0/0	0/0
NA19346	NN	0/0	0/0
NA19347	NN	0/0	0/0
NA19350	NN	0/0	0/0
NA19360	NN	0/0	0/0
NA19372	NN	0/0	0/0
NA19374	NI	0/1	0/1
NA19375	NN	0/0	0/0
NA19376	NN	0/0	0/0
NA19377	NI	0/1	0/1
NA19379	NN	0/0	0/0
NA19380	NN	0/0	0/0
NA19383	NN	0/0	0/0
NA19384	NN	0/0	0/0
NA19385	NN	0/0	0/0
NA19390	NN	0/0	0/0
NA19391	NN	0/0	0/0
NA19393	NN	0/0	0/0
NA19394	NN	0/0	0/0
NA19397	NN	0/0	0/0
NA19399	NN	0/0	0/0
NA19403	NN	0/0	0/0
NA19404	NN	0/0	0/0
NA19428	NN	0/0	0/0
NA19429	NN	0/0	0/0
NA19430	NN	0/0	0/0
NA19431	NN	0/0	0/0
NA19434	NN	0/0	0/0
NA19435	NN	0/0	0/0
NA19436	NN	0/0	0/0
NA19437	NN	0/0	0/0
NA19438	NN	0/0	0/0
NA19439	NN	0/0	0/0
NA19440	NN	0/0	0/0
NA19443	NN	0/0	0/0
NA19445	NN	0/0	0/0
NA19446	NN	0/0	0/0
NA19448	NN	0/0	0/0
NA19449	NN	0/0	0/0
NA19451	NN	0/0	0/0
NA19452	NN	0/0	0/0
NA19455	NN	0/0	0/0
NA19456	NN	0/0	0/0
NA19457	NN	0/0	0/0
NA19462	NN	0/0	0/0
NA19463	NN	0/0	0/0
NA19466	NN	0/0	0/0
NA19467	NN	0/0	0/0
NA19468	NN	0/0	0/0
NA19471	NI	0/1	0/1
NA19472	NN	0/0	0/0
NA19473	NN	0/0	0/0
NA19474	NN	0/0	0/0
