Samples	Result	ImpGenos	Experimental
NA18526	II	1/1	0/1
NA18537	NI	0/1	1/1
NA18550	II	1/1	0/1
NA18555	NI	0/1	0/1
NA18562	NI	0/1	1/1
NA18563	NI	0/1	1/1
NA18582	NI	0/1	1/1
NA18603	II	1/1	1/1
NA18606	II	1/1	0/1
NA18621	II	1/1	0/1
NA18622	NI	0/1	1/1
NA18628	NI	0/1	0/1
NA18632	II	1/1	0/1
NA18636	II	1/1	0/1
NA18647	NI	0/1	1/1
NA18942	NI	0/1	0/1
NA18945	II	1/1	0/1
NA18947	NI	0/1	1/1
NA18951	NI	0/1	1/1
NA18952	II	1/1	0/1
NA18953	NI	0/1	1/1
NA18956	NI	0/1	0/1
NA18965	NI	0/1	1/1
NA18970	NI	0/1	1/1
NA18973	NI	0/1	1/1
NA18977	NI	0/1	1/1
NA18987	II	1/1	0/1
NA18990	II	1/1	1/1
NA18995	NI	0/1	1/1
NA19003	NI	0/1	1/1
NA19010	NI	0/1	1/1
