Samples	Result	ImpGenos	Experimental
NA18526	NN	0/0	0/0
NA18532	NN	0/0	0/0
NA18537	NN	0/0	0/0
NA18542	II	1/1	0/0
NA18545	NI	0/1	0/0
NA18547	II	1/1	0/0
NA18550	NN	0/0	0/0
NA18552	NN	0/0	0/0
NA18555	NI	0/1	0/0
NA18558	II	1	0
NA18561	II	1	0
NA18562	II	1	0
NA18563	NN	0	0
NA18564	NN	0/0	0/0
NA18566	NN	0/0	0/0
NA18570	NI	0/1	0/0
NA18571	NI	0/1	0/0
NA18572	NN	0	0
NA18573	NN	0/0	0/0
NA18577	NI	0/1	0/0
NA18579	II	1/1	0/0
NA18582	NN	0/0	0/0
NA18592	II	1/1	0/1
NA18593	II	1/1	0/0
NA18603	II	1	1
NA18605	NN	0	0
NA18606	NN	0	0
NA18608	NN	0	0
NA18609	NN	0	0
NA18611	II	1	0
NA18612	II	1	0
NA18620	NN	0	0
NA18621	NN	0	0
NA18622	NN	0	0
NA18623	II	1	0
NA18624	II	1	1
NA18628	II	1/1	0/0
NA18632	II	1	1
NA18633	NN	0	0
NA18635	II	1	0
NA18636	NN	0	0
NA18637	II	1	0
NA18647	II	1	0
NA18940	II	1	0
NA18942	NN	0/0	0/0
NA18943	II	1	0
NA18944	NN	0	0
NA18945	NN	0	0
NA18947	NN	0/0	0/0
NA18948	NN	0	0
NA18949	NN	0/0	0/0
NA18951	II	1/1	0/0
NA18952	NN	0	0
NA18953	II	1	0
NA18956	NI	0/1	0/1
NA18959	II	1	0
NA18960	II	1	0
NA18961	II	1	0
NA18964	NN	0/0	0/0
NA18965	II	1	0
NA18966	II	1	0
NA18967	II	1	0
NA18968	NI	0/1	0/0
NA18969	NN	0/0	0/0
NA18970	II	1	0
NA18971	NN	0	0
NA18972	NI	0/1	0/0
NA18973	NN	0/0	0/0
NA18974	NN	0	0
NA18975	II	1/1	0/0
NA18976	NN	0/0	0/0
NA18978	II	1/1	0/0
NA18980	NN	0/0	0/0
NA18981	NI	0/1	0/0
NA18987	II	1/1	0/0
NA18990	NN	0	0
NA18991	II	1/1	0/0
NA18992	NN	0/0	0/0
NA18994	NN	0	0
NA18995	II	1	0
NA18997	NN	0/0	0/0
NA18998	NN	0/0	0/0
NA18999	NI	0/1	0/0
NA19000	II	1	0
NA19003	NN	0/0	0/0
NA19005	II	1	0
NA19007	II	1	0
NA19010	II	1/1	0/0
NA19012	II	1	0
