Samples	Result	ImpGenos	Experimental
NA18532	NN	0/0	0/0
NA18537	NI	0/1	0/0
NA18542	NI	0/1	0/0
NA18545	NI	0/1	0/1
NA18547	NI	0/1	0/1
NA18550	NN	0/0	0/0
NA18552	NN	0/0	0/0
NA18555	NI	0/1	0/1
NA18558	NN	0/0	0/0
NA18561	NN	0/0	0/0
NA18562	NI	0/1	0/1
NA18563	NI	0/1	0/1
NA18564	NN	0/0	0/0
NA18566	NN	0/0	0/0
NA18570	NN	0/0	0/0
NA18571	NN	0/0	0/0
NA18572	NN	0/0	0/0
NA18573	NI	0/1	0/0
NA18577	NI	0/1	0/1
NA18579	NI	0/1	0/1
NA18582	NN	0/0	0/0
NA18592	NN	0/0	0/0
NA18593	NI	0/1	0/1
NA18603	NI	0/1	0/1
NA18605	II	1/1	1/1
NA18608	NN	0/0	0/0
NA18609	NN	0/0	0/0
NA18611	NI	0/1	0/1
NA18612	NN	0/0	0/0
NA18620	NN	0/0	0/0
NA18621	II	1/1	1/1
NA18622	NN	0/0	0/0
NA18623	NN	0/0	0/0
NA18624	NI	0/1	0/0
NA18632	NI	0/1	0/1
NA18633	NN	0/0	0/0
NA18635	NI	0/1	0/1
NA18636	II	1/1	1/1
NA18637	NN	0/0	0/0
NA18940	NN	0/0	0/0
NA18942	NN	0/0	0/0
NA18943	NN	0/0	0/0
NA18944	NI	0/1	0/1
NA18945	NI	0/1	0/1
NA18947	NN	0/0	0/0
NA18948	NN	0/0	0/0
NA18949	NN	0/0	0/0
NA18951	NI	0/1	0/1
NA18952	II	1/1	0/1
NA18953	II	1/1	1/1
NA18956	NN	0/0	0/1
NA18959	NI	0/1	0/0
NA18960	II	1/1	1/1
NA18961	NI	0/1	0/0
NA18964	NI	0/1	0/1
NA18965	NI	0/1	0/1
NA18966	NN	0/0	0/0
NA18967	NN	0/0	0/0
NA18968	NI	0/1	0/1
NA18969	NN	0/0	0/0
NA18970	NN	0/0	0/0
NA18971	II	1/1	0/1
NA18972	NI	0/1	0/1
NA18973	NI	0/1	0/1
NA18974	II	1/1	1/1
NA18975	NI	0/1	0/0
NA18976	NI	0/1	0/1
NA18978	NN	0/0	0/0
NA18980	NN	0/0	0/0
NA18981	NN	0/0	0/0
NA18987	NI	0/1	0/0
NA18990	NI	0/1	0/1
NA18991	II	1/1	0/1
NA18992	NN	0/0	0/0
NA18994	NN	0/0	0/0
NA18995	II	1/1	0/1
NA18997	NI	0/1	0/1
NA18998	NI	0/1	0/1
NA18999	II	1/1	1/1
NA19000	NN	0/0	0/0
NA19003	NN	0/0	0/0
NA19005	NN	0/0	0/0
NA19007	NI	0/1	0/1
NA19012	NN	0/0	0/0
