Samples	Result	ImpGenos	Experimental
NA18498	NN	0/0	0/0
NA18500	NI	0/1	0/1
NA18501	II	1/1	1/1
NA18502	NI	0/1	0/0
NA18503	NI	0/1	0/1
NA18504	NI	0/1	0/1
NA18505	NN	0/0	0/1
NA18506	NI	0/1	0/1
NA18507	NI	0/1	0/1
NA18508	NN	0/0	0/0
NA18515	NI	0/1	1/1
NA18516	NI	0/1	1/1
NA18517	II	1/1	1/1
NA18519	NI	0/1	0/1
NA18521	NN	0/0	0/1
NA18522	NI	0/1	0/1
NA18523	NN	0/0	1/1
NA18852	II	1/1	0/1
NA18853	NI	0/1	0/0
NA18854	NI	0/1	0/1
NA18855	NN	0/0	0/0
NA18856	NN	0/0	0/1
NA18857	NN	0/0	0/0
NA18858	II	1/1	1/1
NA18859	II	1/1	0/1
NA18860	II	1/1	0/1
NA18861	NI	0/1	0/1
NA18862	NN	0/0	0/0
NA18863	NI	0/1	0/1
NA18867	NI	0/1	0/1
NA18870	NN	0/0	0/0
NA18871	II	1/1	0/1
NA18872	NN	0/0	0/0
NA18910	II	1/1	0/1
NA18912	II	1/1	1/1
NA18913	NN	0/0	0/0
NA18914	NI	0/1	0/1
NA19027	NI	0/1	0/0
NA19028	NN	0/0	1/1
NA19031	NN	0/0	0/0
NA19035	NI	0/1	0/0
NA19036	NN	0/0	1/1
NA19038	II	1/1	0/0
NA19041	NI	0/1	0/1
NA19092	II	1/1	0/1
NA19093	II	1/1	0/1
NA19094	II	1/1	1/1
NA19098	NN	0/0	0/0
NA19099	NI	0/1	0/0
NA19100	NI	0/1	0/0
NA19101	NI	0/1	0/1
NA19102	NI	0/1	0/1
NA19103	NN	0/0	0/0
NA19108	NN	0/0	0/0
NA19116	II	1/1	1/1
NA19118	NI	0/1	0/0
NA19119	NN	0/0	0/0
NA19120	NI	0/1	0/1
NA19127	NI	0/1	0/1
NA19128	II	1/1	1/1
NA19129	NI	0/1	0/1
NA19130	NI	0/1	0/1
NA19131	II	1/1	1/1
NA19132	II	1/1	1/1
NA19137	NN	0/0	0/1
NA19138	II	1/1	0/1
NA19139	NN	0/0	0/1
NA19140	NN	0/0	0/0
NA19141	NI	0/1	0/1
NA19142	NN	0/0	0/0
NA19143	NI	0/1	0/1
NA19144	II	1/1	0/1
NA19145	NI	0/1	0/1
NA19146	NI	0/1	0/1
NA19150	NI	0/1	0/1
NA19152	NI	0/1	0/0
NA19153	NI	0/1	0/0
NA19154	NN	0/0	0/0
NA19159	NN	0/0	0/1
NA19160	II	1/1	1/1
NA19161	II	1/1	1/1
NA19171	NI	0/1	0/1
NA19172	NI	0/1	0/1
NA19173	NN	0/0	0/0
NA19189	NI	0/1	0/1
NA19200	NI	0/1	0/1
NA19201	NI	0/1	0/1
NA19202	NI	0/1	0/1
NA19203	II	1/1	1/1
NA19204	NI	0/1	0/1
NA19205	II	1/1	1/1
NA19206	NN	0/0	0/0
NA19207	II	1/1	0/1
NA19208	NN	0/0	0/1
NA19209	II	1/1	0/1
NA19210	NI	0/1	0/1
NA19211	II	1/1	0/1
NA19213	NN	0/0	0/0
NA19221	II	1/1	1/1
NA19222	II	1/1	1/1
NA19223	NI	0/1	0/1
NA19238	NN	0/0	0/0
NA19239	II	1/1	1/1
NA19240	NI	0/1	0/1
NA19307	II	1/1	0/1
NA19308	NN	0/0	0/1
NA19309	NI	0/1	0/1
NA19310	NN	0/0	0/1
NA19314	II	1/1	0/1
NA19315	NN	0/0	0/0
NA19316	NN	0/0	0/0
NA19317	NN	0/0	0/1
NA19319	NI	0/1	0/0
NA19321	NI	0/1	0/1
NA19324	NN	0/0	0/1
NA19327	II	1/1	0/1
NA19328	NN	0/0	0/1
NA19332	NN	0/0	0/0
NA19334	NN	0/0	0/1
NA19346	NN	0/0	0/0
NA19347	NI	0/1	0/0
NA19350	II	1/1	0/0
NA19360	II	1/1	1/1
NA19372	NN	0/0	0/0
NA19374	NI	0/1	1/1
NA19375	NI	0/1	0/1
NA19376	NI	0/1	0/0
NA19377	II	1/1	0/1
NA19379	NN	0/0	0/0
NA19380	NI	0/1	0/1
NA19384	NN	0/0	0/1
NA19385	NN	0/0	1/1
NA19390	NN	0/0	0/0
NA19391	NI	0/1	0/1
NA19393	NN	0/0	0/0
NA19394	II	1/1	0/1
NA19397	NI	0/1	0/1
NA19399	NN	0/0	1/1
NA19403	NN	0/0	0/0
NA19404	NI	0/1	0/0
NA19428	NN	0/0	0/1
NA19429	II	1/1	0/1
NA19430	II	1/1	1/1
NA19431	NN	0/0	0/0
NA19434	NN	0/0	0/0
NA19435	NN	0/0	0/0
NA19436	II	1/1	1/1
NA19437	NN	0/0	0/1
NA19438	NI	0/1	0/1
NA19439	NI	0/1	0/1
NA19440	NN	0/0	0/0
NA19443	NI	0/1	0/0
NA19445	NI	0/1	0/1
NA19446	NN	0/0	0/1
NA19448	NI	0/1	0/0
NA19449	II	1/1	0/1
NA19451	NI	0/1	0/0
NA19452	NI	0/1	0/1
NA19455	NI	0/1	0/0
NA19456	NI	0/1	0/0
NA19457	NN	0/0	0/0
NA19462	NI	0/1	0/1
NA19463	II	1/1	0/1
NA19466	NI	0/1	0/1
NA19467	II	1/1	0/1
NA19468	NN	0/0	0/1
NA19471	II	1/1	0/1
NA19472	NN	0/0	0/1
NA19473	II	1/1	0/1
NA19474	II	1/1	1/1
