Samples	Result	ImpGenos	Experimental
NA18526	NI	0/1	0/1
NA18532	NN	0/0	0/0
NA18537	II	1/1	1/1
NA18547	II	1/1	1/1
NA18550	NN	0/0	0/0
NA18555	II	1/1	1/1
NA18561	NI	0/1	0/1
NA18562	II	1/1	1/1
NA18563	NN	0/0	0/0
NA18566	II	1/1	0/1
NA18572	NN	0/0	0/0
NA18577	NN	0/0	0/0
NA18582	NI	0/1	0/1
NA18603	NN	0/0	0/0
NA18605	NI	0/1	0/1
NA18606	NI	0/1	0/0
NA18621	NI	0/1	0/1
NA18622	II	1/1	1/1
NA18628	NN	0/0	0/1
NA18632	NI	0/1	0/1
NA18636	NI	0/1	0/1
NA18647	NI	0/1	1/1
NA18942	II	1/1	1/1
NA18943	NI	0/1	0/1
NA18945	II	1/1	1/1
NA18947	II	1/1	1/1
NA18949	II	1/1	1/1
NA18951	NN	0/0	0/1
NA18952	NN	0/0	0/0
NA18953	II	1/1	0/1
NA18956	NI	0/1	0/1
NA18964	NN	0/0	0/0
NA18965	II	1/1	1/1
NA18973	NN	0/0	0/0
NA18974	II	1/1	1/1
NA18977	NI	0/1	0/1
NA18980	II	1/1	1/1
NA18987	II	1/1	1/1
NA18990	NI	0/1	0/1
NA18994	II	1/1	1/1
NA18995	II	1/1	1/1
NA19000	II	1/1	1/1
NA19003	NN	0/0	0/0
NA19010	NI	0/1	0/1
