Samples	Result	ImpGenos	Experimental
NA18498	NI	0/1	0/1
NA18500	NI	0/1	0/1
NA18501	NN	0/0	0/0
NA18502	NI	0/1	0/1
NA18503	NN	0/0	0/0
NA18504	NI	0/1	0/1
NA18505	NI	0/1	0/1
NA18506	NN	0/0	0/0
NA18507	NN	0/0	0/0
NA18508	NN	0/0	0/0
NA18515	NI	0/1	0/1
NA18516	NN	0/0	0/0
NA18517	NI	0/1	0/1
NA18519	NI	0/1	0/1
NA18521	NI	0/1	0/1
NA18522	NN	0/0	0/0
NA18523	NI	0/1	0/1
NA18852	NI	0/1	0/1
NA18853	NN	0/0	0/0
NA18854	NI	0/1	0/1
NA18855	NI	0/1	0/1
NA18856	NN	0/0	0/0
NA18857	NI	0/1	0/1
NA18858	NI	0/1	0/1
NA18859	NN	0/0	0/0
NA18860	NN	0/0	0/0
NA18861	NN	0/0	0/1
NA18862	NN	0/0	0/0
NA18863	NN	0/0	0/1
NA18867	NI	0/1	0/1
NA18870	NI	0/1	0/1
NA18871	NI	0/1	0/1
NA18872	NI	0/1	0/1
NA18910	II	1/1	1/1
NA18912	NI	0/1	0/1
NA18913	NN	0/0	0/0
NA18914	NN	0/0	0/0
NA19027	NN	0/0	0/0
NA19028	NN	0/0	0/0
NA19031	NN	0/0	0/0
NA19035	NN	0/0	0/0
NA19036	NN	0/0	0/0
NA19038	NI	0/1	0/1
NA19041	NN	0/0	0/0
NA19092	NN	0/0	0/0
NA19093	NN	0/0	0/0
NA19094	NN	0/0	0/0
NA19098	NI	0/1	0/1
NA19099	NI	0/1	0/1
NA19100	NI	0/1	0/1
NA19101	NI	0/1	0/1
NA19102	NI	0/1	0/1
NA19108	NI	0/1	0/1
NA19116	NN	0/0	0/0
NA19118	NN	0/0	0/0
NA19119	NI	0/1	0/1
NA19120	NN	0/0	0/0
NA19127	NI	0/1	0/1
NA19128	NN	0/0	0/0
NA19129	NN	0/0	0/0
NA19130	NN	0/0	0/0
NA19131	NN	0/0	0/0
NA19132	NN	0/0	0/0
NA19137	II	1/1	1/1
NA19138	NN	0/0	0/0
NA19139	NN	0/0	0/1
NA19140	NN	0/0	0/0
NA19141	NN	0/0	0/0
NA19142	NN	0/0	0/0
NA19143	NN	0/0	0/0
NA19144	NN	0/0	0/0
NA19145	NN	0/0	0/0
NA19146	NI	0/1	0/1
NA19150	NI	0/1	0/1
NA19152	NI	0/1	0/1
NA19153	NI	0/1	0/1
NA19154	NI	0/1	0/1
NA19159	NN	0/0	0/0
NA19160	NN	0/0	0/0
NA19161	NN	0/0	0/0
NA19171	NI	0/1	0/1
NA19172	NI	0/1	0/1
NA19173	NN	0/0	0/0
NA19189	NI	0/1	0/1
NA19200	NN	0/0	0/0
NA19201	NN	0/0	0/0
NA19202	NN	0/0	0/0
NA19203	NN	0/0	0/0
NA19204	NN	0/0	0/0
NA19205	NN	0/0	0/0
NA19206	NN	0/0	0/0
NA19207	NN	0/0	0/0
NA19208	NN	0/0	0/0
