Samples	Result	ImpGenos	Experimental
NA18526	II	1/1	0/1
NA18532	II	1/1	1/1
NA18537	NI	0/1	0/1
NA18542	II	1/1	1/1
NA18545	NI	0/1	1/1
NA18547	NI	0/1	0/1
NA18550	II	1/1	1/1
NA18552	NI	0/1	0/1
NA18555	NI	0/1	0/1
NA18558	NN	0	0
NA18561	II	1	1
NA18562	II	1	1
NA18563	II	1	1
NA18564	NI	0/1	0/0
NA18566	NI	0/1	0/1
NA18570	NN	0/0	0/1
NA18571	NI	0/1	0/1
NA18572	II	1	1
NA18573	II	1/1	0/1
NA18577	II	1/1	0/0
NA18579	II	1/1	0/1
NA18582	II	1/1	1/1
NA18592	II	1/1	1/1
NA18593	II	1/1	1/1
NA18603	II	1	0
NA18605	II	1	0
NA18608	II	1	1
NA18609	II	1	1
NA18611	NN	0	0
NA18612	II	1	0
NA18620	II	1	1
NA18621	II	1	1
NA18622	II	1	1
NA18623	II	1	1
NA18624	II	1	1
NA18632	NN	0	0
NA18633	II	1	1
NA18635	II	1	1
NA18636	II	1	1
NA18637	II	1	1
NA18940	II	1	1
NA18942	II	1/1	1/1
NA18943	II	1	0
NA18944	II	1	1
NA18945	II	1	0
NA18947	II	1/1	1/1
NA18948	II	1	0
NA18949	II	1/1	0/1
NA18951	II	1/1	0/1
NA18952	II	1	1
NA18953	II	1	1
NA18956	II	1/1	1/1
NA18959	II	1	1
NA18960	II	1	1
NA18961	II	1	1
NA18964	II	1/1	1/1
NA18965	II	1	1
NA18966	II	1	1
NA18967	II	1	1
NA18968	NI	0/1	0/1
NA18969	II	1/1	0/1
NA18970	II	1	1
NA18971	NN	0	0
NA18972	NI	0/1	0/1
NA18973	II	1/1	1/1
NA18974	NN	0	0
NA18975	II	1/1	1/1
NA18976	II	1/1	0/1
NA18978	II	1/1	1/1
NA18980	II	1/1	1/1
NA18981	II	1/1	1/1
NA18987	II	1/1	0/1
NA18990	II	1	1
NA18991	NI	0/1	0/1
NA18992	II	1/1	0/1
NA18994	II	1	1
NA18995	II	1	1
NA18997	II	1/1	1/1
NA18998	II	1/1	0/1
NA18999	NI	0/1	0/1
NA19000	II	1	1
NA19003	II	1/1	1/1
NA19005	II	1	1
NA19007	II	1	0
NA19012	II	1	1
