Samples	Result	ImpGenos	Experimental
NA18498	NI	0/1	0/1
NA18502	II	1/1	1/1
NA18507	NN	0/0	0/0
NA18508	NI	0/1	0/1
NA18517	NI	0/1	0/1
NA18519	NN	0/0	0/0
NA18861	NI	0/1	0/1
NA18867	NN	0/0	0/0
NA18870	II	1/1	1/1
NA18910	II	1/1	1/1
NA18912	NI	0/1	0/0
NA19092	II	1/1	1/1
NA19093	NI	0/1	0/1
NA19098	NI	0/1	0/1
NA19099	NN	0/0	0/0
NA19102	NN	0/0	0/0
NA19108	NI	0/1	0/0
NA19116	II	1/1	1/1
NA19118	NN	0/0	0/0
NA19119	II	1/1	1/1
NA19129	NN	0/0	0/0
NA19130	II	1/1	1/1
NA19131	NN	0/0	0/0
NA19137	NN	0/0	0/0
NA19141	NN	0/0	0/0
NA19143	NN	0/0	0/0
NA19146	NI	0/1	0/1
NA19150	NN	0/0	0/0
NA19152	NN	0/0	0/0
NA19159	II	1/1	0/0
NA19160	NN	0/0	0/0
NA19171	NN	0/0	0/0
NA19172	II	1/1	1/1
NA19189	NI	0/1	0/1
NA19200	NN	0/0	0/0
NA19201	NI	0/1	0/0
NA19204	NI	0/1	0/1
NA19206	NN	0/0	0/0
NA19207	NI	0/1	0/1
NA19209	NN	0/0	0/0
NA19213	NN	0/0	0/0
NA19223	NN	0/0	0/0
NA19240	NN	0/0	0/0
