Samples	Result	ImpGenos	Experimental
NA18498	NN	0/0	0/0
NA18502	NN	0/0	0/0
NA18505	NN	0/0	0/0
NA18507	II	1/1	1/1
NA18508	II	1/1	0/1
NA18517	NI	0/1	0/1
NA18519	NI	0/1	0/1
NA18867	NI	0/1	0/1
NA18870	NI	0/1	0/1
NA19092	NN	0/0	0/0
NA19098	NN	0/0	0/0
NA19099	NN	0/0	0/0
NA19102	NN	0/0	0/0
NA19108	NN	0/0	0/0
NA19118	NN	0/0	0/0
NA19119	NN	0/0	0/0
NA19129	NI	0/1	0/1
NA19130	NN	0/0	0/0
NA19146	NN	0/0	0/0
NA19152	NI	0/1	0/1
NA19160	NN	0/0	0/0
NA19171	NI	0/1	0/1
NA19204	NN	0/0	0/0
NA19207	II	1/1	0/1
NA19209	NN	0/0	0/0
NA19213	NN	0/0	0/0
NA19240	NN	0/0	0/0
