Samples	Result	ImpGenos	Experimental
NA18498	II	1	0
NA18502	NN	0/0	0/0
NA18505	NN	0/0	0/1
NA18507	NN	0	0
NA18508	NN	0/0	0/1
NA18517	NN	0/0	0/1
NA18519	NN	0	0
NA18867	NN	0/0	0/0
NA18870	NN	0/0	0/0
NA18910	NN	0	0
NA19092	NN	0	0
NA19098	NN	0	1
NA19099	NN	0/0	0/1
NA19102	NI	0/1	0/0
NA19108	NI	0/1	0/1
NA19118	NN	0/0	0/1
NA19119	NN	0	1
NA19129	NI	0/1	0/1
NA19130	II	1	1
NA19141	NN	0	0
NA19146	II	1	0
NA19150	NN	0	0
NA19152	NI	0/1	0/1
NA19160	II	1	1
NA19171	NN	0	0
NA19189	NN	0	0
NA19204	NN	0/0	0/1
NA19206	II	1/1	0/1
NA19207	II	1	1
NA19209	NI	0/1	0/1
NA19213	NN	0	0
NA19240	NN	0/0	0/0
