Samples	Result	ImpGenos	Experimental
NA18498	NN	0/0	0/0
NA18500	II	1/1	0/0
NA18501	NI	0/1	0/1
NA18502	NI	0/1	0/1
NA18503	NN	0/0	0/0
NA18504	NN	0/0	0/0
NA18505	NI	0/1	0/1
NA18506	NI	0/1	0/1
NA18507	II	1/1	1/1
NA18508	NN	0/0	0/0
NA18515	NN	0/0	0/1
NA18516	NN	0/0	0/1
NA18517	NI	0/1	0/1
NA18519	NI	0/1	0/1
NA18521	NI	0/1	0/1
NA18522	II	1/1	0/1
NA18523	NN	0/0	0/1
NA18852	NN	0/0	0/1
NA18853	NN	0/0	0/1
NA18854	NN	0/0	0/1
NA18855	NI	0/1	0/1
NA18856	II	1/1	1/1
NA18857	NI	0/1	0/1
NA18858	NI	0/1	0/1
NA18859	II	1/1	1/1
NA18860	NI	0/1	0/1
NA18861	NI	0/1	0/1
NA18862	NN	0/0	0/1
NA18863	NN	0/0	0/1
NA18867	NI	0/1	0/1
NA18870	NN	0/0	0/1
NA18871	NN	0/0	0/0
NA18872	NN	0/0	0/1
NA18910	NI	0/1	0/1
NA18912	NN	0/0	0/0
NA18913	NN	0/0	0/1
NA18914	NN	0/0	0/0
NA19027	NN	0/0	0/1
NA19028	NI	0/1	0/1
NA19031	NN	0/0	0/1
NA19035	NI	0/1	0/0
NA19036	NN	0/0	0/0
NA19038	NI	0/1	0/1
NA19041	NN	0/0	0/0
NA19092	NN	0/0	0/0
NA19093	NN	0/0	0/0
NA19094	NN	0/0	0/0
NA19098	NN	0/0	0/0
NA19099	II	1/1	1/1
NA19100	NI	0/1	0/1
NA19101	NN	0/0	0/0
NA19102	II	1/1	1/1
NA19103	NI	0/1	0/1
NA19108	NI	0/1	0/1
NA19116	NN	0/0	0/0
NA19118	NI	0/1	1/1
NA19119	NN	0/0	0/1
NA19120	NN	0/0	0/1
NA19127	NI	0/1	1/1
NA19128	NN	0/0	0/1
NA19129	NI	0/1	1/1
NA19130	NN	0/0	0/0
NA19131	NI	0/1	0/1
NA19132	NN	0/0	0/0
NA19137	NN	0/0	0/0
