Samples	Result	ImpGenos	Experimental
NA18526	NI	0/1	1/1
NA18532	II	1/1	1/1
NA18537	NI	0/1	1/1
NA18542	NI	0/1	1/1
NA18545	NI	0/1	1/1
NA18547	II	1/1	1/1
NA18550	NI	0/1	1/1
NA18552	II	1/1	1/1
NA18555	NI	0/1	1/1
NA18558	NI	0/1	1/1
NA18561	II	1/1	1/1
NA18562	NI	0/1	1/1
NA18563	NI	0/1	1/1
NA18564	NI	0/1	1/1
NA18566	NI	0/1	1/1
NA18570	NI	0/1	1/1
NA18571	II	1/1	1/1
NA18572	NI	0/1	1/1
NA18573	NI	0/1	1/1
NA18577	NI	0/1	1/1
NA18579	NI	0/1	1/1
NA18582	NI	0/1	1/1
NA18592	NI	0/1	1/1
NA18593	NI	0/1	1/1
NA18603	NI	0/1	1/1
NA18605	NI	0/1	1/1
NA18608	NI	0/1	1/1
NA18609	II	1/1	1/1
NA18611	NI	0/1	1/1
NA18612	II	1/1	1/1
NA18620	NI	0/1	1/1
NA18621	NI	0/1	1/1
NA18622	NI	0/1	1/1
NA18623	NI	0/1	1/1
NA18624	NI	0/1	1/1
NA18632	II	1/1	1/1
NA18633	NI	0/1	1/1
NA18635	II	1/1	1/1
NA18636	NI	0/1	1/1
NA18637	NI	0/1	1/1
NA18940	II	1/1	1/1
NA18942	NI	0/1	1/1
NA18943	NI	0/1	1/1
NA18944	NI	0/1	1/1
NA18945	NI	0/1	1/1
NA18947	NI	0/1	1/1
NA18948	II	1/1	1/1
NA18949	NI	0/1	1/1
NA18951	NI	0/1	1/1
NA18952	II	1/1	1/1
NA18953	II	1/1	1/1
NA18956	II	1/1	1/1
NA18959	II	1/1	1/1
NA18960	NI	0/1	1/1
NA18961	NI	0/1	1/1
NA18964	II	1/1	1/1
NA18965	NI	0/1	1/1
NA18966	II	1/1	1/1
NA18967	II	1/1	1/1
NA18968	NI	0/1	1/1
NA18969	II	1/1	1/1
NA18970	NI	0/1	1/1
NA18971	II	1/1	1/1
NA18972	II	1/1	1/1
NA18973	NI	0/1	1/1
NA18974	NI	0/1	1/1
NA18975	NI	0/1	1/1
NA18976	NI	0/1	1/1
NA18978	NI	0/1	1/1
NA18980	NI	0/1	1/1
NA18981	II	1/1	1/1
NA18987	II	1/1	1/1
NA18990	NI	0/1	1/1
NA18991	NI	0/1	1/1
NA18992	II	1/1	0/1
NA18994	II	1/1	1/1
NA18995	II	1/1	1/1
NA18997	NI	0/1	1/1
NA18998	II	1/1	0/1
NA18999	NI	0/1	1/1
NA19000	NI	0/1	1/1
NA19003	NI	0/1	1/1
NA19005	NI	0/1	1/1
NA19007	NI	0/1	1/1
NA19012	NI	0/1	1/1
