Samples	Result	ImpGenos	Experimental
NA18526	II	1/1	1/1
NA18537	NN	0/0	0/0
NA18550	NN	0/0	0/0
NA18555	NN	0/0	0/0
NA18562	NN	0	0
NA18563	NN	0	0
NA18582	NI	0/1	0/1
NA18603	NN	0	1
NA18606	NN	0	0
NA18621	II	1	1
NA18622	II	1	1
NA18628	NN	0/0	0/0
NA18632	NN	0	0
NA18636	NN	0	0
NA18647	NN	0	0
NA18942	NI	0/1	0/1
NA18945	NN	0	0
NA18947	NN	0/0	0/0
NA18951	NI	0/1	0/1
NA18952	NN	0	0
NA18953	NN	0	0
NA18956	NI	0/1	1/1
NA18965	II	1	1
NA18970	NN	0	0
NA18973	NI	0/1	0/1
NA18977	NN	0	0
NA18987	NI	0/1	0/1
NA18990	NN	0	0
NA18995	II	1	1
NA19003	NN	0/0	0/0
NA19010	NN	0/0	0/0
