Samples	Result	ImpGenos	Experimental
NA18498	NN	0/0	0/1
NA18500	II	1/1	0/1
NA18501	NN	0/0	0/0
NA18502	II	1/1	1/1
NA18503	II	1/1	0/1
NA18504	NN	0/0	0/0
NA18505	NI	0/1	0/1
NA18506	II	1/1	1/1
NA18507	II	1/1	0/1
NA18508	II	1/1	1/1
NA18515	NI	0/1	0/1
NA18516	II	1/1	1/1
NA18517	NI	0/1	0/1
NA18519	NN	0/0	0/0
NA18521	II	1/1	1/1
NA18522	II	1/1	0/1
NA18523	II	1/1	0/1
NA18852	NI	0/1	0/1
NA18853	II	1/1	1/1
NA18854	NI	0/1	1/1
NA18855	II	1/1	0/1
NA18856	II	1/1	1/1
NA18857	NI	0/1	0/1
NA18858	II	1/1	1/1
NA18859	II	1/1	1/1
NA18860	II	1/1	1/1
NA18861	II	1/1	1/1
NA18862	NI	0/1	0/1
NA18863	NI	0/1	0/1
NA18867	NN	0/0	0/1
NA18870	II	1/1	0/1
NA18871	II	1/1	1/1
NA18872	II	1/1	1/1
NA18910	II	1/1	1/1
NA18912	NI	0/1	0/1
NA18913	NI	0/1	1/1
NA18914	NI	0/1	1/1
NA19027	II	1/1	1/1
NA19028	NN	0/0	0/1
NA19031	II	1/1	1/1
NA19035	II	1/1	0/1
NA19036	NN	0/0	0/0
NA19038	NN	0/0	0/0
NA19041	NI	0/1	0/0
NA19092	II	1/1	1/1
NA19093	II	1/1	0/0
NA19094	II	1/1	0/1
NA19098	II	1/1	1/1
NA19099	II	1/1	1/1
NA19100	II	1/1	1/1
NA19101	II	1/1	1/1
NA19102	II	1/1	1/1
NA19103	II	1/1	1/1
NA19108	NI	0/1	0/1
NA19116	NN	0/0	0/0
NA19118	II	1/1	0/1
NA19119	II	1/1	1/1
NA19120	NI	0/1	0/1
NA19127	NN	0/0	0/0
NA19128	NI	0/1	0/1
NA19129	II	1/1	0/1
NA19130	NI	0/1	0/1
NA19131	NN	0/0	0/0
NA19132	NI	0/1	0/1
NA19137	II	1/1	0/1
NA19138	NI	0/1	0/0
NA19139	NN	0/0	0/0
NA19140	NI	0/1	0/1
NA19141	NN	0/0	0/0
NA19142	NN	0/0	0/0
NA19143	NN	0/0	0/0
NA19144	II	1/1	0/1
NA19145	NN	0/0	0/0
NA19146	NN	0/0	0/0
NA19150	NI	0/1	0/1
NA19152	II	1/1	0/1
NA19153	NN	0/0	0/0
NA19154	NI	0/1	0/1
NA19159	II	1/1	1/1
NA19160	NI	0/1	0/1
NA19161	NI	0/1	0/1
NA19171	II	1/1	1/1
NA19172	NI	0/1	0/1
NA19173	II	1/1	1/1
NA19189	II	1/1	0/1
NA19200	NN	0/0	0/0
NA19201	NN	0/0	0/0
NA19202	NN	0/0	0/0
NA19203	NI	0/1	1/1
NA19204	II	1/1	1/1
NA19205	II	1/1	1/1
NA19206	NN	0/0	0/0
NA19207	II	1/1	0/1
NA19208	NI	0/1	0/1
NA19209	NI	0/1	0/1
NA19210	II	1/1	1/1
NA19211	NI	0/1	0/1
NA19213	II	1/1	1/1
NA19221	NI	0/1	0/1
NA19222	NN	0/0	0/0
NA19223	II	1/1	1/1
NA19238	II	1/1	1/1
NA19239	II	1/1	1/1
NA19240	NI	0/1	1/1
NA19307	NN	0/0	0/1
NA19308	NN	0/0	0/0
NA19309	II	1/1	1/1
NA19310	NI	0/1	0/1
NA19314	II	1/1	1/1
NA19315	NN	0/0	0/0
NA19316	NI	0/1	0/1
NA19317	NN	0/0	0/0
NA19318	NN	0/0	0/0
NA19319	II	1/1	1/1
NA19321	NN	0/0	0/1
NA19324	II	1/1	1/1
NA19327	NN	0/0	0/0
NA19328	II	1/1	0/1
NA19332	II	1/1	0/1
NA19334	NN	0/0	0/1
NA19346	NI	0/1	0/1
NA19347	NI	0/1	0/1
NA19350	II	1/1	1/1
NA19360	NN	0/0	0/1
NA19372	II	1/1	1/1
NA19374	II	1/1	1/1
NA19375	II	1/1	0/1
NA19376	NN	0/0	0/0
NA19377	NI	0/1	0/1
NA19379	NI	0/1	0/1
NA19380	II	1/1	0/1
NA19384	NI	0/1	0/1
NA19385	NI	0/1	0/0
NA19390	II	1/1	1/1
NA19391	II	1/1	0/1
NA19393	II	1/1	0/1
NA19394	II	1/1	1/1
NA19397	NI	0/1	0/1
NA19399	NN	0/0	0/1
NA19403	II	1/1	1/1
NA19404	NN	0/0	0/0
NA19428	II	1/1	0/1
NA19429	NN	0/0	0/0
NA19430	II	1/1	1/1
NA19431	NN	0/0	0/0
NA19434	NI	0/1	0/1
NA19435	NI	0/1	0/1
NA19436	II	1/1	1/1
NA19437	II	1/1	1/1
NA19438	II	1/1	1/1
NA19439	II	1/1	0/1
NA19440	II	1/1	0/1
NA19443	II	1/1	1/1
NA19445	NN	0/0	0/0
NA19446	NN	0/0	0/0
NA19448	NI	0/1	0/1
NA19449	II	1/1	1/1
NA19451	II	1/1	1/1
NA19452	NI	0/1	0/1
NA19455	NI	0/1	0/1
NA19457	II	1/1	1/1
NA19462	II	1/1	1/1
NA19463	NI	0/1	0/1
NA19466	NI	0/1	0/0
NA19467	NN	0/0	0/1
NA19468	II	1/1	1/1
NA19471	II	1/1	1/1
NA19472	II	1/1	0/1
NA19473	NN	0/0	0/1
NA19474	II	1/1	1/1
