Samples	Result	ImpGenos	Experimental
NA18526	NI	0/1	0/1
NA18537	II	1/1	0/1
NA18550	II	1/1	0/1
NA18555	II	1/1	0/1
NA18562	II	1	1
NA18563	II	1	1
NA18582	II	1/1	0/1
NA18603	II	1	0
NA18606	II	1	1
NA18621	II	1	0
NA18622	II	1	1
NA18628	II	1/1	0/1
NA18632	II	1	1
NA18636	II	1	0
NA18647	II	1	1
NA18942	NI	0/1	0/1
NA18945	II	1	0
NA18947	NI	0/1	0/1
NA18951	II	1/1	0/1
NA18952	II	1	1
NA18953	II	1	1
NA18956	NI	0/1	0/0
NA18965	II	1	1
NA18970	II	1	1
NA18973	II	1/1	0/1
NA18977	II	1	1
NA18987	II	1/1	1/1
NA18990	II	1	0
NA18995	NN	0	1
NA19003	NI	0/1	0/0
NA19010	NN	0/0	0/0
